,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Households,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Household Income,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Average Household Income from Work by Type of Dwelling/Deciles,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Average Monthly Household Income from Work (Excluding Employer CPF Contributions) Among Resident Employed Households by Deciles, 2000 - 2022 (Household Income From Work, Annual)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 09/02/2023,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Dollar,
Deciles,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,
Total,11906,11137,11111,11250,11016,10920,10493,10515,10244,9597,9515,8864,8058,7549,7752,6889,6280,6052,5761,5618,5572,5736,5456,
  1st (Lowest),2104,1858,1805,1858,1785,1763,1732,1745,1621,1574,1518,1460,1385,1263,1300,1223,1164,1162,1140,1112,1150,1209,1284,
  2nd,4110,3892,3839,3692,3574,3512,3486,3402,3273,3045,2985,2834,2679,2461,2463,2219,2116,2062,2009,1942,1955,2040,2062,
  3rd,5659,5192,5190,5237,5174,5158,5040,4965,4676,4467,4290,3988,3759,3437,3463,3079,2902,2835,2721,2668,2628,2718,2737,
  4th,7471,7223,6955,6903,6762,6554,6434,6262,6144,5696,5529,5200,4887,4496,4422,3950,3671,3643,3432,3331,3313,3433,3366,
  5th,9316,8890,8648,8708,8413,8254,7856,7746,7423,7135,6800,6303,5959,5390,5455,4870,4515,4391,4200,4102,4041,4149,4097,
  6th,11210,10749,10204,10402,10106,9736,9636,9480,9082,8479,8196,7587,7090,6601,6751,5962,5478,5301,4978,4981,4885,5015,4831,
  7th,13307,12698,12383,12454,12153,12042,11421,11323,10693,10159,9806,9147,8450,7972,8108,7233,6533,6456,6005,5936,5891,5971,5772,
  8th,16135,15093,14626,15139,14588,14351,13765,13519,13188,12521,11973,11193,10142,9733,9848,8695,8048,7848,7256,7273,7187,7365,6921,
  9th,20204,18629,18215,18631,18407,17809,17188,16848,16601,15609,15038,14307,12887,12352,12915,11492,10202,9797,9443,9142,9144,9557,8630,
  10th (Highest),29542,27149,29246,29474,29197,30018,28377,29860,29742,27287,29012,26622,23345,21786,22798,20174,18171,17022,16425,15688,15524,15905,14862,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,
"Note: A resident employed household refers to a household where the household reference person is a Singapore citizen or permanent resident, and with at least one employed person. It is notable, for example, that some resident employed households in the lowest 10% owned a car (14.5%), employed a domestic worker (14.8%), lived in private property (7.1%) or were with household reference persons aged 65 years and over (32.2%) in 2022. It is also important to recognise that not all households are consistently in the same decile group from one year to the next. For example, a household may move down from a higher decile in a particular year due to the temporary unemployment of a household member, before moving up the deciles when the member resumes employment in the subsequent year. In comparing the performance of any particular decile group over time, it is therefore relevant to note that the comparison may not pertain to the same group of households.",,,,,,,,,,,,,,,,,,,,,,,,
Deciles:,,,,,,,,,,,,,,,,,,,,,,,,
1/ Based on ranking of all resident employed households by their monthly household income from work per household member (including employer CPF contributions).,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,
Household Income from Work:,,,,,,,,,,,,,,,,,,,,,,,,
"Refers to the sum of income received by employed members of the household from employment and business. However, it does not include the income of domestic workers. Monthly household income from work includes one-twelfth of the annual bonus. Data on household income from work refer to household income from work before accounting for Government transfers and taxes, unless stated otherwise. As the income data pertain to income from work, the coverage of households is based on resident employed households. Data on household income are based on the sample of households surveyed in the June Comprehensive Labour Force Surveys conducted by the Ministry of Manpower every year, except for 2000, 2005, 2010 and 2020 which are based on the Censuses of Population and the mid-decade General Household Survey. The income estimates are based on income as reported by survey respondents and augmented with administrative data. Survey estimates are subject to sampling variability.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 08/04/2023,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,
