Theme: Households,,,,,,,,,,,,,,,,,,,,,,,
Subject: Household Income,,,,,,,,,,,,,,,,,,,,,,,
Topic: Household Characteristics,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Households by Monthly Household Income from Work (Excluding Employer CPF Contributions), 2000 - 2022 (Household Income From Work, Annual)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 09/02/2023,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Per Cent
Monthly Household Income from Work (Excluding Employer CPF Contributions),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
  No Employed Person,12.5,11.8,13.3,13.2,12.1,11.8,10.8,9.7,10.4,9.4,9.2,9.3,10.5,9.6,8.6,8.6,9,10,9.8,9.7,9,6.9,8.6
    Solely Non-Employed Persons Aged 65 Years & Over,7.6,7.1,7.5,7.9,7.1,6.9,6.1,5.3,5.7,4.9,4.7,4.5,4.1,4,3.8,4.1,4.1,3.5,3.7,3.6,3,2.3,2.6
"  Below $1,000",1.4,2.1,2.1,2,2,2.1,2.1,2.2,2.4,2.9,3.2,3.4,3.7,4.3,4,4.7,4.9,4.8,4.8,5.2,4.6,4.4,3.9
"  $1,000 - $1,999",5,5.7,5.9,5.9,6.1,6.2,6.4,6.6,6.7,7.2,7,7.5,8.2,9,9.5,10.9,11.9,12.3,12.9,13,13.6,13.3,13.8
"  $2,000 - $2,999",5.4,5.8,6,5.5,6,6,6,6.5,6.7,7.2,7.3,8.3,9.3,9.9,9.8,11.2,12.4,12.7,13.6,13.9,14.1,14.2,14.7
"  $3,000 - $3,999",5.8,6,6.1,6.2,6,6.2,6.4,6.7,7,7.4,7.7,8.3,9.3,9.9,9.7,10.6,11.3,11.5,12.2,12.2,12.4,12.6,13.1
"  $4,000 - $4,999",5.7,5.9,6.1,5.8,6.3,6.1,6.5,6.5,6.8,7.4,8,8.2,8.6,8.5,8.9,9.2,9.5,9.4,9.8,9.7,9.8,10,10.3
"  $5,000 - $5,999",5.7,5.8,6,6,6,6.3,6.7,6.7,6.7,6.9,7.3,7.5,7.8,8.2,7.6,7.9,8.2,7.9,7.8,8.2,7.9,8.3,8.2
"  $6,000 - $6,999",5.3,5.4,5.5,5.4,5.5,5.8,6,6.1,6.1,6.3,6.4,6.7,6.6,6.7,6.4,6.7,6.4,6.3,6,6,6.1,6.3,6.3
